Sample,6654,31253,7460,440917,7463,7462,5281515,5281520
1,588,628,813,446,626,760,230,446
2,724,830,970,262,448,522,334,262
3,612,706,1028,608,430,416,316,608
4,660,546,1279,560,408,873,276,560
5,816,529,908,478,598,662,340,478
6,722,577,1068,384,676,713,258,384
7,760,506,1262,366,634,468,337,366
8,654,743,1052,523,568,445,372,523
9,747,662,1278,418,537,588,456,418
10,856,784,1336,480,551,602,278,480
11,568,612,692,590,480,610,274,590
12,656,520,788,472,542,658,240,472
13,738,528,1046,508,368,834,356,508
14,702,708,977,612,556,1103,322,612
15,820,824,1138,554,542,1048,236,554
