"","Dataset","Treatment","Comparisons","MantelR","SimPval","HypothesisTest","Std.obs","Expectation","Variance"
"1","Samples_STUDY001","BIOTIC","EC","0.939916728995525","0.0081","greater","4.82264170767528","0.000110827789415541","0.0379757482724093"
"2","Samples_STUDY001","BIOTIC","CS","-0.0206701099677314","0.4979","greater","-0.103060795818392","-0.00150564331481997","0.0345785271875565"
"3","Samples_STUDY001","BIOTIC","ES","0.0188910533965362","0.3951","greater","0.115504129389551","0.000573380033951879","0.0251504406784809"
"4","Samples_002","BIOTIC","EC","0.498981161527363","0.0142","greater","3.35430719685044","-0.00185584992615064","0.0222939571885744"
"5","Samples_002","BIOTIC","CS","0.242759689483027","0.0621","greater","1.60972035282443","-0.00024574945856467","0.0227893069408362"
"6","Samples_002","BIOTIC","ES","0.108807989896147","0.2021","greater","0.750679569987072","-0.000295333115732499","0.021123543019152"
"7","Samples_009_herbivory","BIOTIC","EC","0.742208239996333","1e-04","greater","4.42201352568666","0.000955531210383766","0.0280991028283263"
"8","Samples_009_herbivory","BIOTIC","CS","0.221859010027003","0.0848","greater","1.49849176718959","-0.00209271357859749","0.0223357271675721"
"9","Samples_009_herbivory","BIOTIC","ES","0.182166190156063","0.1163","greater","1.24608742889947","-0.00181553118613027","0.0217997908166852"
"10","Samples_012","BIOTIC","EC","-0.0709833021641487","0.4416","greater","-0.202437929183445","0.00645072159855526","0.146311978356504"
"11","Samples_012","BIOTIC","CS","-0.105330525268135","0.6037","greater","-0.441639535771515","-0.0056780526424318","0.0509143576308358"
"12","Samples_012","BIOTIC","ES","-0.44647202121509","0.9667","greater","-1.63978601572404","-0.000827519367578988","0.0738588852857194"
"13","Samples_014_A","BIOTIC","EC","0.742870200774375","1e-04","greater","3.75460986875638","-0.00176742047180541","0.0393332935963316"
"14","Samples_014_A","BIOTIC","CS","0.0240422622242772","0.3965","greater","0.245306300748376","0.00160157880786075","0.00836863740604496"
"15","Samples_014_A","BIOTIC","ES","0.0547083023236674","0.2771","greater","0.557085416524313","2.59795951964598e-05","0.00963496914656299"
"16","Samples_014_B","BIOTIC","EC","0.621153728615559","1e-04","greater","7.10406931652093","0.000576717053300964","0.00763092151358367"
"17","Samples_014_B","BIOTIC","CS","-0.137931887879393","0.8904","greater","-1.17711993892093","0.00146859016847165","0.0140244905409336"
"18","Samples_014_B","BIOTIC","ES","-0.0736538826952521","0.792","greater","-0.853280209172889","0.00154315535501961","0.00776637082595606"
"19","Samples_014_C","BIOTIC","EC","0.595808298031479","1e-04","greater","4.77412507153272","0.00135872578127611","0.0155039533521139"
"20","Samples_014_C","BIOTIC","CS","-0.0454021588505645","0.652","greater","-0.51304837560303","0.000992045216908624","0.00817731679695618"
"21","Samples_014_C","BIOTIC","ES","0.112943165141687","0.1008","greater","1.2831909762236","-0.000333207302897806","0.00779284560254082"
"22","Samples_015","BIOTIC","EC","0.141230807269485","0.2377","greater","0.758304646592741","0.00212493568038828","0.0336514272904472"
"23","Samples_015","BIOTIC","CS","0.118175572092263","0.2769","greater","0.527101891292826","0.00208133737013759","0.0485100985729748"
"24","Samples_015","BIOTIC","ES","0.521416549982143","0.0032","greater","3.0301582532982","0.000890092138035976","0.029509034296263"
"25","Samples_016_2","BIOTIC","EC","0.776200581747438","1e-04","greater","6.83283288813275","-0.00114799812914807","0.0129428530559461"
"26","Samples_016_2","BIOTIC","CS","0.261271368197167","0.0387","greater","1.95636267819715","0.0028567233524741","0.0174475923752099"
"27","Samples_016_2","BIOTIC","ES","0.161921290024098","0.1238","greater","1.34058889108671","0.00166148188079272","0.0142908481465095"
"28","Samples_018","BIOTIC","EC","0.372477766865214","0.0031","greater","3.36427789458562","0.000923673703559854","0.012197206484586"
"29","Samples_018","BIOTIC","CS","-0.0837384538967232","0.708","greater","-0.613430747020433","0.00243592771361727","0.0197344610582696"
"30","Samples_018","BIOTIC","ES","0.051353316281778","0.2907","greater","0.463714713528482","-0.000346786166830264","0.0124302841092876"
"31","Samples_019","BIOTIC","EC","0.909259658504687","0.0018","greater","6.48098134673564","0.0027329866753263","0.0195649899831866"
"32","Samples_019","BIOTIC","CS","-0.0727427094514357","0.5847","greater","-0.441963378330628","0.00106976250119789","0.0278924671725125"
"33","Samples_019","BIOTIC","ES","-0.0478699998540503","0.5778","greater","-0.376162452652909","0.00261001266439657","0.0180089345998715"
"34","Samples_020","BIOTIC","EC","0.516021292798145","0.0013","greater","3.24500968679148","0.00290787474765471","0.0250031512651757"
"35","Samples_020","BIOTIC","CS","0.185008981536751","0.1487","greater","0.967424777341046","-0.000668746668581367","0.0368370815275089"
"36","Samples_020","BIOTIC","ES","0.124344701348985","0.2085","greater","0.796327541606712","0.000303874165640246","0.0242630746639882"
"37","Samples_023","BIOTIC","EC","0.503737703626795","1e-04","greater","7.08484565135415","0.000398228537521279","0.00504732415323908"
"38","Samples_023","BIOTIC","CS","0.284408129843501","0.0048","greater","3.04700845443897","-0.000534156364564719","0.00874513444362489"
"39","Samples_023","BIOTIC","ES","0.353076260490571","2e-04","greater","4.49793504189294","-0.000285100149969451","0.00617179878668251"
"40","Samples_024","BIOTIC","EC","0.631500870709433","1e-04","greater","5.15644223691894","-0.000422450135466418","0.0150185654672292"
"41","Samples_024","BIOTIC","CS","0.279468937827403","0.0303","greater","2.02516812262298","-0.000584445990312615","0.0191231522895697"
"42","Samples_024","BIOTIC","ES","0.221282981482624","0.043","greater","1.95703701293443","-0.000666171367544658","0.0128620118263969"
