STUDY,Treatment,Samples,compounds,mantel_c_e,mantel_c_s,mantel_e_s,AvgCHEMdist,AvgENZdist,RDA[AB] adj R2,RDA[bc],RDA[ABC],rda[a],rda[b],rda[c],mantel_informed,p_informed
23,CONTROL,5,8,0.8049457,-0.2557562,-0.2170615,3.87E-01,0.4041868,-0.00664,0.03513,0.04473,0.0096,-0.01624,0.05137,,
25,CONTROL,16,20,0.4235121,-0.089122,0.01500283,0.2995113,0.2174097,0.04945,0.0445,0.06017,0.01567,0.03378,0.01072,,
25,CONTROL,16,19,0.3912959,-0.07118465,-0.04078939,0.3173595,0.2397905,0.01676,0.01638,0.02023,0.00385,0.01291,0.00347,,
25,CONTROL,15,22,0.4259801,-0.07561379,0.04800637,0.3090568,0.2223663,0.02677,0.00692,0.02481,0.01789,0.00888,-0.00197,,
26,CONTROL,9,25,0.5276331,0.2098913,0.1818965,0.2544643,0.2019415,0.05778,0.08509,0.09184,0.00675,0.05103,0.03406,,
27,CONTROL,10,25,0.475356,0.284658,0.3512748,0.2863905,0.2436771,0.16588,0.14165,0.20015,0.0585,0.10605,0.0356,,
11_aza,CONTROL,20,10,0.8696657,0.06625553,0.05076998,0.38141,0.3327913,0.099,0.11647,0.10783,-0.00864,0.10764,0.00883,,
11_aza,CONTROL,20,10,0.8696657,-0.06552746,-0.09628656,0.38141,0.3327913,0.02608,0.04168,0.03304,-0.00864,0.03472,0.00696,,
11_aza,CONTROL,20,10,0.8696657,-0.1006534,-0.1663143,0.38141,0.3327913,0.01995,0.04571,0.04446,-0.00125,0.0212,0.02451,,
11_aza,CONTROL,20,10,0.8696657,0.01541026,-0.02866788,0.38141,0.3327913,0.07485,0.10379,0.09548,-0.00831,0.08316,0.02063,,
11_aza,CONTROL,20,10,0.8696657,-0.006719333,-0.08794707,0.38141,0.3327913,0.03553,0.07229,0.0739,0.00161,0.03392,0.03837,,
11_HERB,CONTROL,12,11,0.8155265,0.1386136,-0.005878691,0.3418533,0.2986014,0.06029,0.11721,0.1185,0.00129,0.059,0.05821,,
16_A,CONTROL,6,13,0.5790702,-0.1377698,-0.1058951,0.3316335,0.2796661,-0.00439,0.00486,0.0001,-0.00476,0.00037,0.00449,,
