sample,93231,91749831,5281516,7460,6654,17100,240,244,5320250,31253,121719,18818,29025
1,518058,0,0,630714,0,959679,11222110,0,591155,8729667,0,4163536,207012
2,0,0,0,0,0,0,2855161,0,1097773,1044114,0,0,0
3,0,0,0,502538,0,468997,9538425,2163280,14815266,5274910,0,2614601,2197618
4,908430,192227,0,625494,0,542093,8556816,1599086,7941690,5779528,304340,3401137,3543351
5,0,0,2506338,0,0,0,19086122,5026472,45744100,2964306,0,0,0
6,4262217,0,0,0,0,0,17981984,0,0,6625995,0,5357177,0
7,876386,0,0,0,293457,1153101,8278608,0,2803976,3490707,571984,3036886,735345
8,0,0,0,335720,5260878,0,0,0,6934441,3839917,0,1670718,1165391
9,0,0,0,193488,0,0,0,0,0,2037340,0,1913686,65234
10,0,0,1794614,989494,9990872,925701,0,0,13890012,8833517,0,4606520,393667
11,207936,0,0,582932,0,569756,11971374,0,0,6211550,0,3579145,273500
12,0,0,0,0,0,0,8967202,0,5089505,5922186,0,0,0
13,1050226,106029,670527,0,0,630230,16081741,0,3454347,3427538,341482,2630112,3963286
14,192141,0,703282,281772,132581,316464,6268113,0,0,1671734,177058,1978072,2114997
15,830641,66854,1142021,608546,11107210,555971,452504,0,11058931,8923333,230620,5321739,2944707
16,0,0,0,0,0,0,9137574,0,1641477,1659407,103942,1203332,800425
17,0,3092876,745837,243018,2324028,232145,0,835037,3507197,2168311,0,1270491,2100767
