ID,treatment,TREATMENT
C24H01,control,CONTROL
C24H02,control,CONTROL
C24H03,control,CONTROL
C24H04,control,CONTROL
C24H05,control,CONTROL
C24H06,control,CONTROL
F24H01,infested,BIOTIC
F24H02,infested,BIOTIC
F24H03,infested,BIOTIC
F24H04,infested,BIOTIC
F24H05,infested,BIOTIC
