ID,treatment,TREATMENT
C120H01,control,CONTROL
C120H02,control,CONTROL
C120H03,control,CONTROL
C120H04,control,CONTROL
C120H05,control,CONTROL
C120H06,control,CONTROL
F120H01,infested,BIOTIC
F120H02,infested,BIOTIC
F120H03,infested,BIOTIC
F120H04,infested,BIOTIC
F120H05,infested,BIOTIC
F120H06,infested,BIOTIC
