PlantID,Species,Year,Region,Population,5281167,6654,240,18818,14896,9862,5363388,8908,440917,244,998,6054,3314,1549778,2345,,,,,,,,,,,,,,,,,,,,,,,,
10DGo020,Godoratissima,2010,lowland,Doettingen,7.21777778,60.47230545,179.86399276,144.31555556,21.40000000,264.13209030,92.47268033,3.52622466,177.20581258,19.24589090,945.94276867,81.68144004,27.56402497,4.07007304,2.95122070,,,,,,,,,,,,,,,,,,,,,,,,
10DGo021,Godoratissima,2010,lowland,Doettingen,3.96000000,72.50924763,1744.31356240,290.23333333,56.13111111,488.20785472,124.07335495,15.68399796,335.69764168,75.66097167,2446.04259713,112.99184994,93.40495052,4.36064329,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
10DGo022,Godoratissima,2010,lowland,Doettingen,94.70000000,32.74827160,1663.39669394,275.79111111,48.88000000,853.87229456,1910.20296777,37.60739759,293.15644094,58.93318459,2617.50126924,231.67148435,130.05488353,8.72789685,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
10DGo023,Godoratissima,2010,lowland,Doettingen,32.07474747,24.04711233,215.75397572,227.75757576,43.20606061,757.47386023,595.15936432,4.50933808,249.17901482,29.64192367,324.75809899,51.91710933,34.98460002,10.60616190,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
10DGo024,Godoratissima,2010,lowland,Doettingen,58.40808081,32.29978068,808.74134013,14.22626263,1.78383838,229.78634486,770.21841557,4.30407362,86.97947418,28.11523863,1439.28194842,66.38885630,1.98669393,3.30664485,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
10DGo025,Godoratissima,2010,lowland,Doettingen,5.61555556,82.23553086,2094.25659973,662.79777778,107.16222222,423.21725240,125.05272987,4.42016612,319.83466511,66.40022576,3023.22007540,235.98748675,64.39013712,4.28222295,0.63290166,,,,,,,,,,,,,,,,,,,,,,,,
10DGo026,Godoratissima,2010,lowland,Doettingen,33.54222222,33.31216265,718.48567554,298.51111111,35.68888889,1055.66375689,376.17989110,2.22774527,129.55573831,48.48936718,1608.31408713,153.24597966,23.33860953,10.87370246,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
10DGo027,Godoratissima,2010,lowland,Doettingen,6.86881720,50.56989675,911.17183995,361.15483871,57.47741935,669.87549814,110.94179632,2.92198780,164.33738793,54.56889216,1435.95723734,203.90688424,40.90032198,8.07008130,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
10DGo028,Godoratissima,2010,lowland,Doettingen,70.15833333,30.45376399,2352.44987450,448.48333333,68.66875000,636.20069569,1842.94137762,5.77266667,327.41952246,131.65939566,2687.46337575,412.58253938,99.86785119,5.60060046,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
10DGo030,Godoratissima,2010,lowland,Doettingen,62.19111111,67.86985576,1369.21386286,410.16444444,59.55555556,581.84423159,1782.74085398,2.30481953,253.21593992,155.78178406,2318.40972458,321.12468987,93.79299182,3.98871012,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,
