samples,17868,6654,18827,31253,7462,5320250,7461,5368821,5281515,87529,5373727,5315347,5281516
1,2.711,0,8.09,6.74,0,41.24,13.61,50.43,172.45,21.58,37.17,37.7,99.92
2,0.091,0,7.066,5.74,0,39.873,11.086,10.43,97.8605,27.352,32.7,31.1,70.2
3,0.8788,0,8.2518,6.8748,0,42.0648,13.8822,91.4386,161.099,22.6716,38.9334,35.394,9.0784
4,0.1001,0,7.94,6.57,0,40.32,13.35,49.5386,53.7599,21.2457,37.3235,31.005,10.9728
5,0.9097,0,9.111,7.751,0,42.691,16.106,50.293,177.1,15.07,44.7102,38.305,99.447
6,2.05,0.88,15.94,8.99,9.04,35.41,93.31,29.35,69.62,19.16,38.12,32.15,21.4
7,1.77,0.7,7.16,5.63,6.28,9.11,75.89,27.09,9.24,13.9,34.7,30.27,10.1
8,1.8082,0.7158,7.391,5.7762,6.4332,29.8006,77.582,27.6544,28.1786,14.2306,35.4082,30.8942,10.315
9,2.0882,0.8958,16.171,9.1362,9.1932,43.0206,95.002,29.9144,82.5586,19.4906,36.8282,34.7742,11.615
10,1.8201,0.7811,11.0912,6.9999,7.34,35.289,81.212,27.109,45.0446,15.851,31.971,27.9701,0.31
