Controls/Treatment,7463,7461,442359,76319594,25244198,6918391,6429302,12306047,5373727,5281516,5315347,441005
1,1.1695,0.8193,0.919,1.1574,5.8326,1.2441,1.003,2.2992,5.7589,3.4423,1.1542,0.9415
2,0.8985,0.7904,0.8387,1.0787,6.0282,2.1355,0.8635,1.8371,6.729,11.7508,0.9833,1.1102
3,0.8842,0.8123,0.8107,0.9468,3.5427,1.0908,0.7641,1.5229,5.0341,1.6464,0.9176,1.0661
4,0.8851,0.774,0.8378,0.966,3.2345,1.0136,0.7641,1.4513,3.8364,1.8628,0.994,0.8726
5,0.9736,0.775,0.7988,0.8908,5.3245,1.3813,0.771,1.7427,6.2673,2.8997,0.9334,1.5478
6,0.8722,0.8178,0.7901,0.8756,3.4202,1.5,0.7641,1.6026,5.5487,5.5314,0.9634,0.9389
7,1.2031,0.8328,0.8645,1.1501,6.8196,1.2396,0.8087,1.8643,6.1832,2.8411,1.1564,0.9217
8,0.9239,0.8143,0.8424,0.9915,4.976,1.6219,0.8232,1.9013,7.4623,4.9964,0.9572,1.0946
9,0.7641,0.8127,0.7641,1.0851,0.7641,0.7641,0.9238,1.1152,1.0232,0.8157,1.04,0.7641
10,1.0516,0.8128,0.7996,1.0006,5.0321,1.1673,0.8249,2.1961,9.6998,4.3251,0.9802,0.9689
11,0.7641,0.8121,0.7641,0.8196,0.7641,0.7641,0.9717,1.1992,1.1956,0.8622,0.965,0.7641
12,1.2679,0.7744,0.8846,1.1078,6.5411,1.1769,0.8382,2.3601,11.1311,4.4619,1.0202,0.962
13,0.9023,0.8088,0.9398,1.023,8.2547,1.8118,0.888,1.7965,6.2085,5.4366,0.8928,0.9876
14,0.8301,0.8399,0.7883,0.8842,5.5728,1.6401,0.7964,1.6157,5.9298,4.4355,0.8666,0.7641
15,0.9003,0.8263,0.8195,1.0895,6.8596,2.3343,0.8567,1.9595,7.3875,11.8139,0.9641,1.1623
16,0.7641,0.7878,0.7641,0.7641,0.7641,0.7641,0.7641,0.7641,0.7641,0.7641,0.8027,0.7716
17,0.8055,0.8067,0.8489,0.9297,3.9069,1.0575,0.7641,1.5379,4.8496,8.1749,0.8602,1.0983
18,0.8406,0.7695,0.8605,0.9236,3.4972,1.009,0.7641,1.5138,4.3509,9.773,1.0308,0.9095
19,0.7641,0.7816,0.7641,0.7641,0.7641,0.7641,0.7641,0.7944,0.7641,0.7641,0.8751,0.9914
20,0.8993,0.8003,0.978,1.2237,4.3757,1.2346,0.831,1.8719,7.0916,2.8729,0.8792,0.8572
21,0.8716,0.8178,0.8052,1.0388,4.2039,1.3022,0.7641,2.0201,8.5747,2.6989,0.925,0.8445
22,0.8644,0.8693,0.9076,1.3825,8.6426,2.0358,0.8365,2.9744,13.1012,2.249,1.5483,0.7641
23,1.0709,0.976,0.8178,1.0601,3.0022,0.9454,0.7641,1.4749,4.6181,3.1899,0.9872,0.7971
24,0.9604,0.9318,0.8882,1.2475,4.9181,1.2526,0.7803,2.4156,12.4297,6.91,1.356,1.0439
25,0.8372,0.9265,0.8291,0.9867,3.1258,1.1216,0.7641,1.6317,6.0997,3.9935,0.9274,0.8362
26,0.8569,0.9556,0.8312,1.2636,5.8457,1.3137,0.7641,2.3038,10.3538,3.8155,0.8528,0.8412
27,0.9608,0.9681,0.9743,0.7641,10.0301,1.4526,0.7641,4.6178,0.7641,9.1028,1.1705,1.0723
28,0.8582,0.7978,0.882,1.0544,3.9548,1.1796,0.7641,1.9051,6.2226,7.0524,1.2824,1.0676
29,0.8295,0.9812,0.8857,1.1926,6.6995,1.6279,0.8257,2.4865,9.2875,1.8078,0.8609,0.8176
30,0.7641,0.9894,0.7641,0.8625,0.788,0.7641,1.1487,1.5706,1.3853,0.8859,0.879,0.8314
31,0.7641,0.9069,0.7641,0.7641,0.7641,0.7641,0.7641,0.7641,0.7641,0.7641,0.8163,0.7897
32,0.9715,0.8185,0.9672,0.8801,9.6003,1.4384,0.7641,1.1417,0.7641,8.9736,1.1755,1.1066
33,1.5391,0.9231,1.188,0.7641,0.7641,2.5047,0.897,1.243,0.7641,6.2329,1.1154,1.1196
34,0.8961,0.9911,0.8578,1.189,5.4082,1.8494,0.8412,2.1328,7.713,7.2928,1.0592,1.2711
35,0.9806,0.9562,0.8722,1.3582,7.4085,2.0724,0.8452,2.5677,10.1545,8.6299,1.0084,1.3216
36,0.8919,0.9064,0.7974,0.8972,2.1439,0.9038,0.7641,1.2316,3.6815,3.0955,0.8694,0.8334
37,0.9331,0.9683,0.7641,1.3106,6.6518,1.2715,0.8149,2.5664,9.4202,3.7377,1.1424,0.8598
38,0.8473,0.8718,0.9212,1.0433,3.0394,1.0563,0.7966,1.5342,5.4306,3.8149,1.145,0.7849
39,0.7641,0.8098,0.7641,0.8436,0.7641,0.7916,1.186,1.5156,1.4827,0.8807,0.8776,0.7652
40,0.7641,0.9976,0.7641,0.7641,0.8104,0.7641,0.7641,0.7641,0.7913,0.819,0.8209,0.7641
41,0.8847,0.9439,0.9013,1.1727,5.6218,1.4289,0.7641,2.3626,9.2043,9.5106,1.2347,1.1276
