SAMPLEID,31244,240,7150,4133,998,6054,5281516,5362889,5352557,798
1,8.8,254.54,49.26,5.28,781.94,33.89,152.31,5,46.85,194.63
2,8.11,252.88,62.42,22.05,242.8,11.14,1021.29,43.48,121.29,141.36
3,14.17,214.17,50,3.54,313.75,7.71,853.96,45,238.13,227.5
4,14.62,131.97,87.95,48.41,1115.83,36.89,2065.83,68.41,72.73,307.95
5,16.85,594.29,87.14,22.8,177.2,7.26,448.21,24.64,59.58,188.45
6,4.44,529.26,182.41,15.28,36.02,2.13,1460.93,59.26,92.69,55.56
7,9.09,189.7,65.08,9.17,412.95,15,193.71,11.21,405.91,88.48
8,15.9,614.62,92.31,62.88,321.99,6.28,405.06,26.41,95.19,119.62
9,11.82,195.61,164.77,39.02,576.59,9.62,1203.03,43.94,51.36,147.5
10,42.36,780.83,140.97,75.69,750.69,35.83,2963.06,116.53,91.11,511.94
11,75.09,604.35,182.31,108.98,1221.2,17.59,2198.89,106.57,86.76,700.83
12,2.92,544.79,175.63,23.75,243.96,14.58,1017.71,52.29,875.83,22.08
13,26.35,735.1,129.38,117.81,1070.42,36.67,2840.52,121.67,215.83,263.13
14,33.83,418.61,121.5,36.33,2381.61,116.11,976.94,40.72,88.39,340.56
15,2.38,170.6,59.52,29.05,62.74,2.5,858.21,37.02,45.24,45.48
16,29.26,676.2,53.7,8.52,1336.39,13.52,1756.67,81.57,110.65,286.94
17,33.25,1252.42,83.17,36.5,719.25,38.58,133.83,12.33,101.92,390.25
18,12.17,361.33,57.92,23.92,110.75,5.92,1808.83,74.67,65.33,251.33
19,9.33,343.75,85.92,16.83,620.92,17.5,2089.08,108.25,67.75,302.42
20,6.09,266.47,45.19,13.85,670.58,26.09,363.78,23.08,76.6,150.77
21,8.06,153.15,60.83,3.7,237.41,10.28,907.59,31.76,37.22,77.04
22,30.31,361.98,127.4,17.29,982.29,17.08,1135.63,38.23,51.77,277.92
23,11.25,466.25,54.38,41.46,870.63,7.5,1340.21,48.54,104.79,116.67
24,35.28,482.36,190.14,59.17,1417.5,29.31,569.72,18.75,63.19,260.97
25,11.67,247.36,44.31,8.06,196.53,5.83,1054.72,41.53,60.97,150.14
26,2.5,284.83,16,4.17,64.17,1.67,337,13,123.5,11
27,7.08,759.79,101.88,16.15,173.33,5.1,321.15,18.85,64.69,130.83
28,16.43,835.95,92.74,15.12,812.86,13.81,431.19,19.52,48.81,154.52
29,1.39,96.11,86.94,40.83,52.78,5,512.36,20.28,58.75,44.31
30,4.69,128.02,31.25,1.98,421.77,16.35,503.75,14.58,61.35,50.73
31,12.5,219,44.33,23.83,958.75,43.08,1027.17,40.83,32.67,194.25
32,42.29,1204.48,165,71.98,1903.96,107.71,175.42,10,79.69,436.15
33,7.62,190.24,45.83,39.88,526.55,16.55,595.48,24.64,203.21,76.9
34,5.36,202.02,100,25.83,455.36,20.48,147.86,7.26,109.52,97.02
35,39.05,451.55,75.12,3.69,909.76,16.9,1808.33,65.71,108.21,447.62
36,20.36,379.29,151.79,10.48,1164.05,10.36,250.48,10.71,93.21,433.45
37,25.46,234.17,23.8,35.46,473.52,12.96,1133.52,43.52,72.87,288.06
38,31.31,353.45,91.55,74.64,1394.17,44.52,412.62,17.14,39.76,186.67
39,1.07,165.95,116.31,52.26,40.48,3.1,182.5,9.64,72.38,67.62
40,21.11,499.17,68.89,6.67,1188.06,9.44,242.78,11.53,68.33,332.64
41,8.98,193.89,26.85,34.17,132.13,6.39,441.48,18.98,42.78,122.04
42,34.58,197.29,129.17,16.67,282.08,15.21,1868.33,75.21,103.54,192.29
43,22.4,328.23,81.25,41.56,127.71,8.33,1195.1,42.4,35,215.1
44,9.38,244.03,83.82,21.94,485.76,21.88,1220.63,55.49,35.07,250.21
45,4.33,188,37.5,8.75,300.75,14.75,1447.58,48.75,49,80.17
46,195.73,819.58,145.42,16.35,478.96,35.63,3054.9,95.83,61.35,384.38
47,10.09,791.85,39.72,10.74,176.48,5.93,1779.54,72.04,75.19,173.24
48,9.42,202.92,50,13.08,46.42,2.58,564.92,25.08,203.17,86
49,23.33,349.77,46.52,64.62,1502.5,21.21,1718.48,67.73,30.45,272.8
50,8.61,203.24,35.74,12.87,209.54,7.31,770.37,29.35,47.87,200
51,7.33,187.5,55.08,48.83,263.67,15.25,821.83,29.5,35,122.58
52,11.98,391.56,257.4,19.9,198.02,15.83,2005.21,76.88,58.75,198.75
53,7.8,199.92,68.18,33.79,93.03,5.15,526.21,17.05,45.45,146.67
54,14.79,534.48,41.98,11.15,851.98,26.67,1675,55.94,84.69,128.44
55,81.19,1002.14,187.62,19.17,65.6,5.83,3444.88,172.62,72.86,358.57
56,177.71,571.67,98.26,16.67,208.19,12.92,2920.9,115.49,47.5,446.25
57,48.43,204.63,76.94,11.3,580.83,14.91,1481.11,62.69,89.26,180.37
58,14.42,203.97,36.41,27.95,280.71,18.72,844.74,30.32,41.54,156.15
59,20.56,209.35,212.87,39.07,87.31,4.81,680.37,34.17,50,117.22
60,18.89,337.5,65.56,20.56,540.97,37.08,1545.97,74.44,96.81,357.64
61,10.42,365.14,52.22,44.31,132.08,7.22,675.28,33.89,49.03,148.47
62,12.62,371.67,104.05,47.74,1300.36,78.33,613.93,31.19,54.76,179.64
63,6.3,350,18.8,9.81,253.33,8.24,995.28,35.46,80.19,94.26
64,4.07,837.69,43.52,25.19,67.96,5.19,460.74,26.67,52.87,87.22
65,17.8,222.05,16.67,11.59,32.88,2.42,621.74,26.97,41.89,51.89
66,8.98,286.94,54.26,133.15,58.61,5.19,775.28,45.19,40,108.15
67,12.36,237.08,47.92,33.33,267.36,5.28,876.81,41.94,432.92,98.06
68,6.76,182.69,59.81,29.63,46.2,2.59,793.06,29.44,34.63,29.26
69,12.22,284.35,39.26,48.89,333.06,11.2,1196.39,66.85,23.98,250.37
70,8.23,642.92,52.92,27.5,421.77,6.25,454.48,21.98,101.88,88.96
71,23.96,324.69,76.77,11.67,102.81,3.13,864.38,31.35,37.5,88.96
72,9.72,164.58,47.36,57.92,582.78,36.11,719.17,27.64,65.97,167.36
73,13.75,266.88,51.46,44.48,328.65,15.31,620.52,26.25,78.65,212.81
74,46.31,241.43,137.74,87.02,1447.5,86.79,2395.95,65.48,61.67,655.71
75,23.33,300.56,65,15.42,68.33,2.08,615.56,32.5,40.28,50.56
76,15.45,184.32,84.39,31.59,50.68,2.95,676.59,21.59,42.2,140.3
77,6.25,146.39,74.17,8.89,52.22,2.36,919.86,40.69,45.83,55.97
78,4.69,160.83,41.04,22.92,83.02,2.29,379.17,15.21,48.13,64.38
79,8.23,253.75,24.38,43.44,215.73,4.06,743.44,24.06,53.02,179.69
80,50,331.42,59,57.17,557.17,20.75,2881.58,89.5,42.75,531.67
81,9.4,584.17,177.62,138.57,138.81,8.21,1297.86,62.26,53.69,98.1
82,34.17,285.74,459.35,118.7,386.67,16.57,2667.31,73.06,63.61,46.39
83,102,660.17,729.67,730.33,1559.5,46.5,3297.17,137.17,97.5,753.33
84,44.58,1256.39,242.5,12.36,76.25,5.83,855.42,26.11,92.64,56.25
85,131.77,570.21,390.73,215.42,1509.27,19.17,2065,68.54,151.35,323.13
86,48,961.83,310.17,17.33,181,6,2058.67,107.17,44.67,50.33
87,60.63,364.9,260.63,181.35,453.75,23.65,2106.77,91.56,78.85,318.54
88,12.17,203.08,173.5,134.92,107.5,4.75,1500.67,64.08,65.25,113.08
89,156.9,735.83,178.93,22.62,521.67,17.62,2007.26,86.79,69.05,198.21
90,17.92,439.58,90.31,111.77,262.92,11.15,879.58,39.27,62.5,58.33
91,167.78,522.13,376.2,206.57,879.26,27.5,2715.65,75.74,51.3,441.02
92,48.07,362.55,141.77,138.07,106.09,6.15,2057.5,86.04,50.31,69.53
93,29.88,420.71,160.12,164.4,272.38,23.93,2026.31,66.31,163.21,107.62
94,22.69,824.91,304.72,201.3,337.5,11.2,3750.09,120.83,72.13,126.3
95,30.63,400,74.48,89.48,92.81,4.58,1890.63,72.5,30.83,39.38
96,16.88,439.58,52.5,79.17,114.58,8.75,1407.92,73.96,80.63,102.5
97,19.44,295.42,154.72,95.14,203.19,10.14,1927.78,80,49.72,137.08
98,23.85,513.65,156.25,74.9,213.75,6.77,1012.19,50.73,28.02,26.46
99,87.81,585.21,182.29,39.06,531.77,20.63,2200.42,80.1,140.1,164.38
100,15.83,387.67,227.17,161.17,94,6.33,885.83,41.67,65.67,82.17
101,7.08,494.79,192.71,46.04,73.75,5.83,1166.46,47.29,86.46,8.13
102,66.67,643.89,364.17,136.94,187.5,8.61,1666.11,50,320,240.28
103,10.21,160,91.04,49.38,227.29,12.92,2022.5,71.67,111.88,222.71
104,102.5,374.5,160.17,16.5,277.67,11.33,2723.83,82.67,171.83,503
105,115.97,211.67,252.78,105,472.5,12.92,2724.03,79.17,65.14,100
106,32.5,343.61,164.44,56.67,161.11,6.94,1986.67,61.94,64.17,233.06
107,44.79,267.71,80.42,108.54,91.04,4.38,1464.58,72.29,95,20.83
108,100.83,655.83,70.42,212.4,617.5,17.71,2425.1,81.15,45.52,156.25
109,10.97,308.06,82.08,10.97,55.97,2.5,1179.44,36.94,26.67,107.78
110,22.6,530.52,108.54,88.02,137.71,2.6,744.9,21.98,173.54,93.65
111,14.29,340.83,50,80.36,71.67,2.26,765.83,30.83,41.67,34.17
112,31.67,549.17,165.14,263.06,90.14,2.92,1863.47,46.39,58.89,68.75
113,84.76,1411.19,31.07,107.26,68.69,4.29,1068.57,35.24,97.38,33.93
114,27.5,527.86,188.81,112.62,67.38,0.95,1434.64,50.24,51.55,49.4
115,58.53,370.77,96.22,100.38,59.36,3.59,1170.26,56.22,30.77,50.38
116,35.95,788.81,143.21,156.55,104.29,4.4,2397.26,77.02,32.74,26.19
117,23.54,186.04,124.17,65.42,64.38,4.58,870.63,26.67,77.08,25
118,38.43,603.52,100.19,19.81,297.31,4.72,1620.74,49.44,42.04,91.94
119,20.83,775.69,140.28,95.83,94.03,2.5,1691.67,51.94,63.33,77.22
120,11.33,341,77.83,92.83,75.83,2.17,852.83,28.83,51.17,51.17
121,0.65,203.43,117.22,45.83,22.22,1.67,1067.41,41.57,33.06,35.28
122,4.52,300.83,193.33,68.57,73.93,2.74,2303.45,96.43,24.76,77.86
123,1.67,355.67,95.83,79,49.33,2.83,1985.83,54.17,37,58.83
124,1.83,180.33,151.83,96.25,34.42,2.17,707.17,29.33,23.75,62.75
125,3.81,227.26,39.76,13.1,69.17,2.02,1505.12,57.62,49.17,36.9
126,1.31,171.55,48.21,99.88,32.14,2.5,1090.24,56.07,79.4,14.88
127,1.25,188.02,110.42,64.27,25.94,1.67,1709.79,77.71,59.9,44.69
128,1.56,237.08,86.04,23.96,27.92,2.29,1335.42,45.63,59.17,52.08
129,1.31,271.67,58.93,43.69,62.38,2.62,638.1,30.24,110,16.43
130,7.17,846.83,157.67,51.5,106.67,7.33,1477,48.83,147.83,104.83
131,8.33,581.39,136.11,22.92,99.44,6.11,1778.47,71.81,99.86,97.92
132,9.05,239.64,177.5,152.98,55.48,3.93,1057.38,40.12,54.52,111.43
133,1.49,276.9,86.13,80.18,47.98,3.63,1508.39,65.89,43.51,78.21
134,1.04,199.06,102.4,59.38,37.6,2.5,1009.69,53.75,48.33,34.27
135,4.17,473.33,163.13,54.38,72.71,3.96,1053.33,50.21,122.92,46.04
136,3.21,249.88,139.05,76.31,31.55,2.26,1197.62,42.02,129.64,19.4
137,2.08,228.47,123.33,59.17,21.94,3.06,824.03,34.44,75.69,15.14
138,4.44,349.81,111.57,111.48,55.28,4.07,1585.83,61.39,60,80
139,3.06,420.56,308.89,48.33,71.11,10.56,1463.89,76.11,148.06,69.44
140,7.59,384.44,204.17,164.91,49.91,2.96,2234.35,92.78,59.54,165.46
141,5.56,425.19,127.87,219.35,70.83,3.61,1314.72,57.78,45.65,90.56
142,1.25,323.92,71.42,83,53.17,4.25,1275.42,61.42,109,55.67
143,5.83,569.07,218.43,120.65,54.07,2.5,2377.96,93.15,89.17,111.2
144,2.92,169.9,53.75,17.5,40.63,2.71,1128.02,59.38,72.5,121.46
145,2.87,631.3,149.91,94.07,41.57,2.22,1184.44,35.93,25.37,51.39
146,1.15,225.21,76.56,97.4,25.52,1.88,1951.77,76.56,37.29,71.98
147,2.26,318.57,60.83,117.86,44.52,2.74,2616.55,92.98,49.17,27.98
148,1.04,225.63,97.6,81.77,31.77,2.6,1208.75,41.15,36.15,11.25
149,0.42,81.58,9.5,5.67,13.08,0.67,78.58,2.42,18.08,3.42
150,2.5,172.81,91.67,73.96,34.06,2.4,898.02,37.19,31.35,40.21
151,9.79,790.94,330.73,207.08,129.48,6.88,1667.5,77.08,116.46,255.42
152,8.57,366.9,75,139.76,100.24,6.31,1624.29,48.69,74.05,165.12
153,1.42,157.08,62.83,66.33,31.33,2.08,1606.17,60.83,37.83,55.33
154,0.83,243.06,86.11,70.37,27.04,2.04,1262.59,44.44,46.57,22.13
155,1.33,461.67,172.58,15.75,31.58,2,925.67,29.25,100.25,49.42
156,1.53,498.06,188.06,80,73.75,3.47,1045.14,41.39,119.44,93.47
