SAMPLEID,6654,440917,244,6432254,6549,4133,798,7150,6427788,14896,9862
1,4.918,0,136.789,8.583,9.623,1.331,1.062,4.488,0.127,49.137,6.1
2,2.892,0,4.595,6.068,4.399,0,1.276,0.366,0.09,6.916,0.71
3,4.762,0,35.845,3.64,7.898,2.219,0.565,3.036,0,46.81,3.377
4,1.6,0,56.406,12.367,8.658,0.354,1.361,2.089,0.209,4.541,0.237
5,5.506,0,32.167,3.312,3.608,1.534,1.377,1.479,0,45.391,2.903
6,3.755,0,36.288,22.734,6.423,1.627,0.933,1.91,0.102,6.802,1.741
7,3.497,0,8.144,11.672,7.898,0.758,0.802,0.813,0.141,12.716,2.494
8,2.994,0,14.567,7.984,7.489,0,0.624,0.988,0.061,6.305,0.828
9,3.246,0,193.869,19.182,7.533,1.681,0.971,5.543,0,8.708,1.242
10,0,0,4.296,0,0,0,0,0.396,0.109,0.1,0.214
11,0.719,0,51.7,7.653,0.832,0.716,0.282,3.378,0.192,3.461,1.764
12,2.391,0,2.442,7.483,9.575,0,0.465,0.56,0.167,6.922,0.535
13,3.996,0,42.601,6.126,0,0.847,0,1.499,0,4.64,0
14,2.267,0,23.883,0,5.338,0,0.424,1.714,0.224,6.004,0.725
15,2.675,0,19.137,0,0,5.659,1.042,1.5,0,5.451,0.676
16,2.332,0,1.715,0,0,0.721,0.157,0,0.138,6.356,0.295
17,2.845,0,0.219,0,2.049,1.072,0.651,0.397,0.107,7.599,0.166
18,1.782,0,0,2.22,0,0.362,0.202,0,0,5.333,0.282
19,3.445,0,160.899,0,3.801,1.846,0.516,9.04,0,6.92,0.221
20,1.674,0,0.345,0,0,0.823,0.425,0,0.162,4.994,0.256
21,7.27,0,0.72,0,2.836,1.234,0.327,0.777,0,10.818,0
22,4.467,0,16.067,0,0,1.27,0.925,0.853,0.256,43.81,1.785
23,1.692,0,108.916,18.98,16.963,0.497,1.481,3.249,0,6.175,1.165
24,3.109,0,130.176,5.554,7.302,1.453,1.624,9.084,0.234,50.167,5.1
25,1.175,0,0,0,0,0,0,0,0.205,1.289,0
26,2.298,0,41.601,7.624,1.68,1.515,0.957,1.775,0.233,40.922,1.563
27,1.471,0,4.466,10.917,3.284,1.051,0.623,1.062,0.316,5.247,0.93
28,2.172,0,155.456,35.05,33.221,1.029,0.522,2.491,0.228,12.195,1.859
29,3.27,0,30.695,21.088,9.4,0,0.774,0.565,0.416,6.49,0
30,2.59,0,134.075,11.413,6.716,4.972,0.916,7.816,0.153,12.085,1.148
31,1.961,0,10.67,17.623,6.257,0.698,0.222,2.008,0,9.119,0.855
32,4.493,0,64.433,16.319,9.991,1.304,0.69,3.019,0.277,5.613,4.452
33,2.559,0,46.699,5.379,5.187,0.165,0.156,1.73,0.095,2.22,1.086
34,2.049,0,89.016,6.154,2.42,0.886,0.285,1.133,0.397,2.919,1.385
35,1.785,0,7.656,10.759,4.298,0,0.469,0.384,0,5.448,1.548
36,1.601,0,49.867,5.465,1.412,0.837,0.249,2.154,0.157,1.992,0.105
37,0.747,0,0,0,0,0,0,0,0.191,0,0
38,6.937,0,0,0,0,1.192,0.581,0.377,0.137,8.968,0.215
39,3.07,0,0,0.762,0.812,1.208,0.486,0,0,5.876,0.447
40,5.804,0,0.753,0,4.838,1.217,0.483,0.393,0,9.127,0.291
41,4.07,0,0.675,0,0,1.209,0.477,0.672,0.132,6.11,0.315
42,1.214,0,0,0,0.643,0,0,0,0,0.181,0
43,5.419,0,90.5,0,0,0.771,0.766,2.07,0.215,38.696,1.908
44,0,0,15.033,11.835,5.768,0,0.609,1.242,0.185,3.728,0
45,5.571,0,78.975,7.105,1.549,1.65,1.775,2.745,0.1,46.473,0.905
46,2.266,0,5.127,9.691,0,0.457,0.805,0.268,0.027,6.196,0.21
47,3.603,0,33.764,3.378,3.157,1.655,0.598,2.668,0,39.908,3.671
48,2.285,0,49.898,29.711,16.043,0.984,1.173,1.045,0.53,5.011,1.269
49,3.288,0,85.696,18.79,9.817,1.232,0.684,3.088,0,6.296,0.52
50,0,0,0.194,0,0,0,0,0,0,0.922,0
51,2.758,0,165.158,19.066,11.536,1.577,0.91,7.176,0,5.689,1.904
52,2.361,0,18.153,7.391,7.011,0.762,0.288,0.769,0.051,7.038,1.164
53,3.34,0,52.783,11.661,0,2.333,0.76,2.316,0.255,7.859,1.481
