"","Dataset","Comparisons","MantelR","SimPval","HypothesisTest","Std.obs","Expectation","Variance"
"1","Samples_STUDY001","EC","0.944051887729793","0.0019","greater","6.02772009641458","0.000934692174822148","0.0244807755535575"
"2","Samples_STUDY001","CS","0.0553228071917873","0.2699","greater","0.390135703668826","0.000170495613493041","0.01998462691908"
"3","Samples_STUDY001","ES","0.0476710511418868","0.2256","greater","0.361626371040903","0.00178175739392764","0.016102843094143"
"4","Samples_002","EC","0.498981161527363","0.0129","greater","3.33721532332195","0.000469946634744139","0.0223142044482245"
"5","Samples_002","CS","0.203894808579096","0.0942","greater","1.3745916023897","-0.00259764165954038","0.0225663324781255"
"6","Samples_002","ES","0.0723780015865687","0.2706","greater","0.488358518811135","0.000225664493299278","0.0218284686896935"
"7","Samples_STUDY003","EC","0.402070996893961","0.0132","greater","2.27836851721012","-0.00109706299596439","0.0313129724441111"
"8","Samples_STUDY003","CS","0.166787504566409","0.2118","greater","0.827605016492432","0.00142605676022407","0.0399229204334765"
"9","Samples_STUDY003","ES","0.243491369134329","0.122","greater","1.31213920197111","0.000439080720256093","0.034311492309417"
"10","Samples_STUDY004","EC","0.26218827240341","0.0155","greater","2.78815916840403","-0.000805068440314259","0.00889722100329988"
"11","Samples_STUDY004","CS","0.0221234926566395","0.4025","greater","0.212704042543993","-0.000277028983496462","0.0110908485734262"
"12","Samples_STUDY004","ES","0.250692782467791","0.0091","greater","2.70565197816388","0.00117457540029971","0.00850473165496279"
"13","Samples_STUDY005","EC","0.760389493138137","0.0125","greater","2.31705642975015","-0.000578835061810338","0.107859882233196"
"14","Samples_STUDY005","CS","-0.320556356455915","0.8761","greater","-0.948912512131453","-0.00265470029153414","0.112236272431003"
"15","Samples_STUDY005","ES","-0.513360904545708","0.9895","greater","-1.27614881007627","0.00111432378240298","0.162527291313295"
"16","Samples_STUDY006","EC","0.0222820165704556","0.3125","greater","0.0657941218874403","-0.000369862829233598","0.118531639473877"
"17","Samples_STUDY006","CS","0.051969807280233","0.4039","greater","0.140719209474953","0.0031614243070757","0.120304553596761"
"18","Samples_STUDY006","ES","0.51571295250805","0.1334","greater","1.28324870902392","0.00124416203706777","0.16072979693231"
"19","Samples_007","EC","0.747766748927366","0.0037","greater","2.43744745806209","0.00292165186264603","0.0933816194294746"
"20","Samples_007","CS","-0.0545728099638711","0.4813","greater","-0.223145822509643","0.00219462894383489","0.0647174028965776"
"21","Samples_007","ES","0.0342246226933815","0.427","greater","0.119624110273712","0.00306427207794864","0.0678527150412165"
"22","Samples_008","EC","0.830070571465666","1e-04","greater","7.76956987328339","0.000493511057911039","0.0114003849267986"
"23","Samples_008","CS","0.0425347363033748","0.2535","greater","0.416539171191031","4.29194058198449e-05","0.0104063614316116"
"24","Samples_008","ES","0.0952597923268562","0.1605","greater","0.897065710610163","0.00154888979090172","0.0109126877360237"
"25","Samples_009_azacytidine","EC","0.752518034191972","0.0018","greater","3.55738133345179","0.00145902896879107","0.0445745812183896"
"26","Samples_009_azacytidine","CS","0.193531236926009","0.1882","greater","1.00670119838886","-1.53998817676031e-05","0.036963244674603"
"27","Samples_009_azacytidine","ES","0.0779408987250957","0.3298","greater","0.394294972323439","0.0010839082809878","0.0379948093837268"
"28","Samples_009_herbivory","EC","0.742208239996333","1e-04","greater","4.49777296401777","-0.000340155133335112","0.0272555197599859"
"29","Samples_009_herbivory","CS","0.590400006483845","0.0017","greater","3.96169788027124","-0.00164633312987653","0.0223330837517887"
"30","Samples_009_herbivory","ES","0.46343258741103","0.0079","greater","3.11347391303738","0.00288045190188061","0.0218809985992452"
"31","Samples_010","EC","0.639156896107458","0.008","greater","2.55737018587927","-3.74238899558296e-05","0.0624710231059511"
"32","Samples_010","CS","0.754071670203072","0.0689","greater","2.17306681460353","0.000231792321369933","0.120340567785463"
"33","Samples_010","ES","0.439433248069688","0.1055","greater","1.74683019387679","-0.000868250246825542","0.0635329390724068"
"34","Samples_011","EC","0.51440800135351","1e-04","greater","10.1355440354887","-0.000361496121851011","0.00257947593370535"
"35","Samples_011","CS","0.110644190542152","0.0014","greater","3.73866610733945","0.000327456856011849","0.000870661673465998"
"36","Samples_011","ES","0.171490084151448","2e-04","greater","6.2459516764949","-0.000124298588570992","0.000754935982186728"
"37","Samples_012","EC","-0.0709833021641487","0.4332","greater","-0.188259582216049","0.000430405408840447","0.143896085785573"
"38","Samples_012","CS","-0.210572610299924","0.7148","greater","-0.610006440511121","-0.00705121978027178","0.111314382558943"
"39","Samples_012","ES","-0.0749026169229278","0.5618","greater","-0.224296020136988","0.00156622923082575","0.116232061088631"
"40","Samples_013","EC","0.61053219014722","1e-04","greater","4.51822313553317","0.000100082473693667","0.0182532157570484"
"41","Samples_013","CS","-0.0606755494619865","0.5487","greater","-0.315526405467796","-0.00180892631588352","0.0348070187388995"
"42","Samples_013","ES","0.0791860397444465","0.2735","greater","0.539099221571145","0.00141959065027069","0.0208088044319331"
"43","Samples_014_A","EC","0.742870200774375","1e-04","greater","3.67662997892382","0.00214128550529752","0.0405899716752932"
"44","Samples_014_A","CS","0.067149237468306","0.2787","greater","0.5912490764079","-0.000937714040953993","0.013261322257939"
"45","Samples_014_A","ES","0.103214896476263","0.183","greater","0.907272846722532","-0.000411415069787628","0.0130456058777077"
"46","Samples_014_C","EC","0.595808298031479","1e-04","greater","4.82375810240004","-0.00111641243941913","0.0153132746827904"
"47","Samples_014_C","CS","0.00655935702194212","0.4142","greater","0.056315056647655","-0.000625738005733726","0.0162785599050516"
