"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy","TREATMENT"
"[a+b] = X16",1,0.148238440281059,0.139546995794131,TRUE,"[E|C+E:C]","0.0003999600039996","Samples_009_azacytidine","CONTROL"
"[b+c] = X26",1,0.19118008276299,0.182926818301388,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_009_azacytidine","CONTROL"
"[a+b+c] = X1+X26",2,0.194800477303002,0.178198425288631,TRUE,"[E|C+E:C+C|E]","0.0002999700029997","Samples_009_azacytidine","CONTROL"
"[a] = X1|X26",1,NA,-0.00472839301275707,TRUE,"[E|C]","0.512048795120488","Samples_009_azacytidine","CONTROL"
"[b]6",0,NA,0.144275388806888,FALSE,"[E:C]","NA","Samples_009_azacytidine","CONTROL"
"[c] = X2|X16",1,NA,0.0386514294945,TRUE,"[C|E]","0.0221977802219778","Samples_009_azacytidine","CONTROL"
"[d] = Residuals6",NA,NA,0.821801574711369,FALSE,"Residuals","NA","Samples_009_azacytidine","CONTROL"
"[a+b] = X17",1,0.0942962750131152,0.0866853193409566,TRUE,"[E|C+E:C]","0.0007999200079992","Samples_009_herbivory","CONTROL"
"[b+c] = X27",1,0.132847301892762,0.125560304429676,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_009_herbivory","CONTROL"
"[a+b+c] = X1+X27",2,0.13343844500234,0.118750961019328,TRUE,"[E|C+E:C+C|E]","0.0002999700029997","Samples_009_herbivory","CONTROL"
"[a] = X1|X27",1,NA,-0.00680934341034722,TRUE,"[E|C]","0.780721927807219","Samples_009_herbivory","CONTROL"
"[b]7",0,NA,0.0934946627513038,FALSE,"[E:C]","NA","Samples_009_herbivory","CONTROL"
"[c] = X2|X17",1,NA,0.0320656416783719,TRUE,"[C|E]","0.0251974802519748","Samples_009_herbivory","CONTROL"
"[d] = Residuals7",NA,NA,0.881249038980672,FALSE,"Residuals","NA","Samples_009_herbivory","CONTROL"
"[a+b] = X18",1,0.366497286588074,0.347864853840664,TRUE,"[E|C+E:C]","0.0003999600039996","Samples_010","CONTROL"
"[b+c] = X28",1,0.665105105661954,0.655255255828482,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_010","CONTROL"
"[a+b+c] = X1+X28",2,0.665144239999005,0.644849951514096,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_010","CONTROL"
"[a] = X1|X28",1,NA,-0.0104053043143861,TRUE,"[E|C]","0.953804619538046","Samples_010","CONTROL"
"[b]8",0,NA,0.35827015815505,FALSE,"[E:C]","NA","Samples_010","CONTROL"
"[c] = X2|X18",1,NA,0.296985097673431,TRUE,"[C|E]","9.99900009999e-05","Samples_010","CONTROL"
"[d] = Residuals8",NA,NA,0.355150048485904,FALSE,"Residuals","NA","Samples_010","CONTROL"
"[a+b] = X19",1,0.0426510374588525,0.0423343490822263,TRUE,"[E|C+E:C]","9.99900009999e-05","Samples_011","CONTROL"
"[b+c] = X29",1,0.0083482239141248,0.00802018826209516,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_011","CONTROL"
"[a+b+c] = X1+X29",2,0.0432009734743968,0.0425677510875498,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_011","CONTROL"
"[a] = X1|X29",1,NA,0.0345475628254547,TRUE,"[E|C]","9.99900009999e-05","Samples_011","CONTROL"
"[b]9",0,NA,0.00778678625677165,FALSE,"[E:C]","NA","Samples_011","CONTROL"
"[c] = X2|X19",1,NA,0.000233402005323513,TRUE,"[C|E]","0.187781221877812","Samples_011","CONTROL"
"[d] = Residuals9",NA,NA,0.95743224891245,FALSE,"Residuals","NA","Samples_011","CONTROL"
"[a+b] = X110",1,0.531429441868846,0.511056808906622,TRUE,"[E|C+E:C]","0.0001999800019998","Samples_012","CONTROL"
"[b+c] = X210",1,0.166812607502889,0.130587068698667,TRUE,"[E:C+C|E]","0.0393960603939606","Samples_012","CONTROL"
"[a+b+c] = X1+X210",2,0.55598153174126,0.515616216445011,TRUE,"[E|C+E:C+C|E]","0.0001999800019998","Samples_012","CONTROL"
"[a] = X1|X210",1,NA,0.385029147746344,TRUE,"[E|C]","0.0002999700029997","Samples_012","CONTROL"
"[b]10",0,NA,0.126027661160277,FALSE,"[E:C]","NA","Samples_012","CONTROL"
"[c] = X2|X110",1,NA,0.00455940753838946,TRUE,"[C|E]","0.282271772822718","Samples_012","CONTROL"
"[d] = Residuals10",NA,NA,0.484383783554989,FALSE,"Residuals","NA","Samples_012","CONTROL"
"[a+b] = X111",1,0.0447025572427732,0.0404187122079874,TRUE,"[E|C+E:C]","0.0013998600139986","Samples_013","CONTROL"
"[b+c] = X211",1,0.00651481654825669,0.00205972603950444,TRUE,"[E:C+C|E]","0.230976902309769","Samples_013","CONTROL"
"[a+b+c] = X1+X211",2,0.0514546833172469,0.0429092300137986,TRUE,"[E|C+E:C+C|E]","0.0027997200279972","Samples_013","CONTROL"
"[a] = X1|X211",1,NA,0.0408495039742942,TRUE,"[E|C]","0.0016998300169983","Samples_013","CONTROL"
"[b]11",0,NA,-0.000430791766306782,FALSE,"[E:C]","NA","Samples_013","CONTROL"
"[c] = X2|X111",1,NA,0.00249051780581122,TRUE,"[C|E]","0.20997900209979","Samples_013","CONTROL"
