"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy"
"[b+c] = X27",1,0.0431282871118799,0.0381959586949308,TRUE,"[E:C+C|E]","0.003","Samples_008"
"[a+b+c] = X1+X27",2,0.0578491202458979,0.0480858986940419,TRUE,"[E|C+E:C+C|E]","0.003","Samples_008"
"[a] = X1|X27",1,NA,0.00988993999911114,TRUE,"[E|C]","0.083","Samples_008"
"[b]7",0,NA,0.0430867002037142,FALSE,"[E:C]","NA","Samples_008"
"[c] = X2|X17",1,NA,-0.00489074150878344,TRUE,"[C|E]","0.96","Samples_008"
"[d] = Residuals7",NA,NA,0.951914101305958,FALSE,"Residuals","NA","Samples_008"
"[a+b] = X18",1,0.140537256491447,0.131767228496462,TRUE,"[E|C+E:C]","0.001","Samples_009_azacytidine"
"[b+c] = X28",1,0.169764726614012,0.161292938110074,TRUE,"[E:C+C|E]","0.001","Samples_009_azacytidine"
"[a+b+c] = X1+X28",2,0.175648782406846,0.158651850085337,TRUE,"[E|C+E:C+C|E]","0.001","Samples_009_azacytidine"
"[a] = X1|X28",1,NA,-0.00264108802473628,TRUE,"[E|C]","0.416","Samples_009_azacytidine"
"[b]8",0,NA,0.134408316521198,FALSE,"[E:C]","NA","Samples_009_azacytidine"
"[c] = X2|X18",1,NA,0.0268846215888755,TRUE,"[C|E]","0.047","Samples_009_azacytidine"
"[d] = Residuals8",NA,NA,0.841348149914663,FALSE,"Residuals","NA","Samples_009_azacytidine"
"[a+b] = X19",1,0.390482687141681,0.385360692915981,TRUE,"[E|C+E:C]","0.001","Samples_009_herbivory"
"[b+c] = X29",1,0.474993793595018,0.470581976734472,TRUE,"[E:C+C|E]","0.001","Samples_009_herbivory"
"[a+b+c] = X1+X29",2,0.489429997266408,0.480776268406516,TRUE,"[E|C+E:C+C|E]","0.001","Samples_009_herbivory"
"[a] = X1|X29",1,NA,0.0101942916720442,TRUE,"[E|C]","0.075","Samples_009_herbivory"
"[b]9",0,NA,0.375166401243936,FALSE,"[E:C]","NA","Samples_009_herbivory"
"[c] = X2|X19",1,NA,0.0954155754905358,TRUE,"[C|E]","0.001","Samples_009_herbivory"
"[d] = Residuals9",NA,NA,0.519223731593484,FALSE,"Residuals","NA","Samples_009_herbivory"
"[a+b] = X110",1,0.366497286588074,0.347864853840664,TRUE,"[E|C+E:C]","0.001","Samples_010"
"[b+c] = X210",1,0.665105105661954,0.655255255828482,TRUE,"[E:C+C|E]","0.001","Samples_010"
"[a+b+c] = X1+X210",2,0.665144239999005,0.644849951514096,TRUE,"[E|C+E:C+C|E]","0.001","Samples_010"
"[a] = X1|X210",1,NA,-0.0104053043143861,TRUE,"[E|C]","0.944","Samples_010"
"[b]10",0,NA,0.35827015815505,FALSE,"[E:C]","NA","Samples_010"
"[c] = X2|X110",1,NA,0.296985097673431,TRUE,"[C|E]","0.001","Samples_010"
"[d] = Residuals10",NA,NA,0.355150048485904,FALSE,"Residuals","NA","Samples_010"
"[a+b] = X111",1,0.0475520034051183,0.0472369362544088,TRUE,"[E|C+E:C]","0.001","Samples_011"
"[b+c] = X211",1,0.024394027435134,0.0240712996903226,TRUE,"[E:C+C|E]","0.001","Samples_011"
"[a+b+c] = X1+X211",2,0.049675449100656,0.0490465116083335,TRUE,"[E|C+E:C+C|E]","0.001","Samples_011"
"[a] = X1|X211",1,NA,0.0249752119180109,TRUE,"[E|C]","0.001","Samples_011"
"[b]11",0,NA,0.0222617243363979,FALSE,"[E:C]","NA","Samples_011"
"[c] = X2|X111",1,NA,0.00180957535392468,TRUE,"[C|E]","0.007","Samples_011"
"[d] = Residuals11",NA,NA,0.950953488391666,FALSE,"Residuals","NA","Samples_011"
"[a+b] = X112",1,0.134755580401913,0.0971362578106922,TRUE,"[E|C+E:C]","0.077","Samples_012"
"[b+c] = X212",1,0.128531649326484,0.0906417210363312,TRUE,"[E:C+C|E]","0.07","Samples_012"
"[a+b+c] = X1+X212",2,0.193665572737458,0.120362442986318,TRUE,"[E|C+E:C+C|E]","0.087","Samples_012"
"[a] = X1|X212",1,NA,0.0297207219499869,TRUE,"[E|C]","0.19","Samples_012"
"[b]12",0,NA,0.0674155358607054,FALSE,"[E:C]","NA","Samples_012"
"[c] = X2|X112",1,NA,0.0232261851756258,TRUE,"[C|E]","0.235","Samples_012"
"[d] = Residuals12",NA,NA,0.879637557013682,FALSE,"Residuals","NA","Samples_012"
"[a+b] = X113",1,0.0447025572427732,0.0404187122079874,TRUE,"[E|C+E:C]","0.005","Samples_013"
"[b+c] = X213",1,0.00651481654825669,0.00205972603950444,TRUE,"[E:C+C|E]","0.244","Samples_013"
"[a+b+c] = X1+X213",2,0.0514546833172469,0.0429092300137986,TRUE,"[E|C+E:C+C|E]","0.005","Samples_013"
"[a] = X1|X213",1,NA,0.0408495039742942,TRUE,"[E|C]","0.002","Samples_013"
"[b]13",0,NA,-0.000430791766306782,FALSE,"[E:C]","NA","Samples_013"
"[c] = X2|X113",1,NA,0.00249051780581122,TRUE,"[C|E]","0.203","Samples_013"
"[d] = Residuals13",NA,NA,0.957090769986201,FALSE,"Residuals","NA","Samples_013"
"[a+b] = X114",1,0.0875949669035369,0.0821314637113425,TRUE,"[E|C+E:C]","0.001","Samples_014_A"
"[b+c] = X214",1,0.0826992312488805,0.0772064122743228,TRUE,"[E:C+C|E]","0.001","Samples_014_A"
